Requirement ID,Module / Category,Requirement Description,Implementation Component(s),Verification Test Suite,Verification Status
REQ-M1-01,Student Profiling,"Multi-step PLAAFP data collection (Demographics, ASD background, Difficulties).","CreateStudentProfile.jsx, UpdateStudentProfile.jsx",CreateStudentProfile.test.jsx,VERIFIED (PASS)
REQ-M1-02,Student Profiling,Block form progression to Step 2 if difficulty markers are unchecked.,CreateStudentProfile.jsx,CreateStudentProfile.test.jsx:L15,VERIFIED (PASS)
REQ-M1-03,Student Profiling,"Standardized typography, 42px touch inputs, and high-contrast styling.","App.css, FormInput.jsx",ViewSelectedStudentProfile.test.jsx,VERIFIED (PASS)
REQ-M2-01,AI IEP Generator,Profile-synced read-only difficulty tags in Step 1 and Section B.,IepGenerationPage.jsx,IepGenerationPage.test.jsx:L250,VERIFIED (PASS)
REQ-M2-02,AI IEP Generator,Assistive Technology 5-row maximum ceiling and disabled button states.,IepGenerationPage.jsx,IepGenerationPage.test.jsx:L320,VERIFIED (PASS)
REQ-M2-03,AI IEP Generator,6 one-click standard SPED assistive technology suggestion chips.,IepGenerationPage.jsx:L17,IepGenerationPage.test.jsx:L275,VERIFIED (PASS)
REQ-M2-04,AI IEP Generator,Special Factor Notes live character counter (500 max) and capacity badges.,SpecialFactorNotesField,IepGenerationPage.test.jsx:L440,VERIFIED (PASS)
REQ-M2-05,AI IEP Generator,6 contextual special factor note presets with duplicate protection.,SpecialFactorNotesField,IepGenerationPage.test.jsx:L395,VERIFIED (PASS)
REQ-M2-06,AI IEP Generator,Manual Goal addition & deletion without mandatory AI invocation.,IepGenerationPage.jsx:L1550,IepGenerationPage.test.jsx:L180,VERIFIED (PASS)
REQ-M2-07,AI IEP Generator,Post-IEP completion classroom next-step action cards.,IepNextSteps.jsx,IepNextSteps.test.jsx:L10,VERIFIED (PASS)
REQ-BE-01,AI Goal Engine,3-Tier AI Fallback Cascade (Ollama -> Groq Cloud -> Deterministic Template).,iep_generation_service.py,test_iep_generation.py,VERIFIED (PASS)
REQ-BE-02,AI Goal Engine,Automated R-GORI and SMART pedagogical compliance rating (>=65%).,rgori_evaluator.py,test_rgori_evaluator.py,VERIFIED (PASS)
REQ-BE-03,Security & Auth,Multi-tenant row-level data isolation by teacher_id.,iep_management/views.py,test_security.py,VERIFIED (PASS)
REQ-NFR-01,Performance,Client-side API caching with 5-minute freshness window.,"queryClient.js, React Query",App.test.jsx:L20,VERIFIED (PASS)
REQ-NFR-02,Accessibility,"Zero critical axe-core violations, ARIA landmarks, and keyboard navigation.","SkipLink.jsx, Sidebar.jsx",a11y.test.jsx,VERIFIED (PASS)
